School,Gender,Age,Housing_Type,Family_Size,Parental_Status,Mother_Education,Father_Education,Mother_Work,Father_Work,Reason_School_Choice,Legal_Responsibility,Commute_Time,Weekly_Study_Time,Extra_Educational_Support,Parental_Educational_Support,Private_Tutoring,Extracurricular_Activities,Attended_Daycare,Desire_Graduate_Education,Has_Internet,Is_Dating,Good_Family_Relationship,Free_Time_After_School,Time_with_Friends,Alcohol_Weekdays,Alcohol_Weekends,Health_Status,School_Absence,Grade_1st_Semester,Grade_2nd_Semester
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Services,Services,Near Home,Mother,Up to 15 min,Up to 2h,No,Yes,No,No,No,Yes,Yes,No,Very Poor,Low,Low,Very Low,Moderate,Very Good,6,10,11
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Near Home,Mother,Up to 15 min,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Low,Low,Very Low,Low,Very Good,8,11,12
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Higher Education,Lower Secondary School,Health,Services,Other,Mother,Up to 15 min,Up to 2h,No,No,No,No,Yes,Yes,Yes,No,Poor,Low,High,Low,High,Very Poor,0,11,11
Gabriel Pereira,Male,16,Urban,Up to 3,Separated,High School,Higher Education,Services,other,Near Home,Mother,Up to 15 min,2 to 5h,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Excellent,Moderate,Moderate,Very Low,Very Low,Very Good,2,12,12
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Higher Education,Higher Education,Teacher,Teacher,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good,High,Very High,Very High,Very High,Very Good,4,12,11
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Higher Education,Higher Education,Health,Services,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,Yes,No,No,Yes,Yes,No,Excellent,High,Low,Moderate,High,Very Good,0,10,11
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Higher Education,Higher Education,Services,Services,Reputation,Mother,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Very Low,Very Low,Very Low,Very Good,2,15,15
Gabriel Pereira,Male,15,Rural,Above 3,Living Together,Higher Education,High School,Teacher,Homemaker,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,Very High,Low,Very Low,Very Low,Very Good,0,13,14
Gabriel Pereira,Male,15,Urban,Up to 3,Living Together,High School,High School,other,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,No,No,Yes,No,Yes,Yes,No,Excellent,Moderate,Low,Very Low,Very Low,Poor,0,13,12
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,High School,Lower Secondary School,other,other,Near Home,Mother,Up to 15 min,Up to 2h,No,Yes,No,No,No,Yes,Yes,No,Excellent,High,Moderate,Very Low,Very Low,Very Good,4,12,12
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Lower Secondary School,High School,other,other,Other,Father,15 to 30 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,No,No,Fair,Very High,Very Low,Very Low,Very Low,Very Good,4,11,11
Gabriel Pereira,Male,15,Urban,Up to 3,Living Together,Higher Education,High School,Teacher,Services,Near Home,Mother,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,High,Moderate,Very Low,Very Low,Good,0,14,14
Gabriel Pereira,Male,16,Rural,Above 3,Separated,Higher Education,Higher Education,other,Teacher,Reputation,Mother,15 to 30 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Poor,High,Moderate,Very Low,Very Low,Very Good,4,13,13
Gabriel Pereira,Female,15,Rural,Above 3,Living Together,High School,Higher Education,Services,Health,Course Preference,Mother,Up to 15 min,5 to 10h,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Low,Very Low,Very Low,Very Good,2,11,12
Gabriel Pereira,Female,15,Rural,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Homemaker,other,Reputation,Mother,Up to 15 min,Up to 2h,Yes,Yes,No,Yes,Yes,Yes,No,No,Good,Moderate,Very Low,Very Low,Very Low,Poor,8,14,13
Gabriel Pereira,Female,16,Urban,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Near Home,Mother,15 to 30 min,2 to 5h,No,Yes,No,Yes,No,Yes,Yes,Yes,Fair,Moderate,Moderate,Very Low,Low,Fair,16,11,11
Gabriel Pereira,Male,15,Urban,Up to 3,Living Together,Higher Education,Higher Education,Teacher,other,Near Home,Other,Up to 15 min,Up to 2h,No,Yes,No,No,No,Yes,Yes,Yes,Excellent,High,Moderate,Low,High,Very Good,8,10,11
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Higher Education,Higher Education,Services,Teacher,Course Preference,Father,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Moderate,Very Low,Very Low,Very Good,0,14,15
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Services,Services,Course Preference,Father,Up to 15 min,Up to 2h,Yes,Yes,No,No,Yes,Yes,Yes,No,Excellent,High,Very Low,Very Low,Very Low,Very Poor,0,9,10
Gabriel Pereira,Female,16,Urban,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,other,Homemaker,Course Preference,Father,15 to 30 min,2 to 5h,Yes,No,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Moderate,Low,Low,Very Good,14,10,11
Gabriel Pereira,Female,15,Urban,Up to 3,Separated,Higher Education,High School,other,other,Course Preference,Mother,Up to 15 min,2 to 5h,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent,Low,Low,Very Low,Very Low,Very Good,4,10,11
Gabriel Pereira,Female,16,Urban,Up to 3,Separated,High School,High School,other,Services,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Poor,Moderate,Very High,Very Low,High,Fair,6,13,12
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Higher Education,High School,Health,Services,Reputation,Mother,Up to 15 min,More than 10h,No,No,No,Yes,Yes,Yes,Yes,No,Good,Low,Low,Very Low,Very Low,Poor,2,17,17
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Higher Education,Lower Secondary School,Teacher,other,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,No,No,Good,Moderate,Moderate,Low,Low,Very Good,4,11,12
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Higher Education,Higher Education,Services,Teacher,Other,Father,Up to 15 min,2 to 5h,Yes,Yes,No,Yes,No,Yes,Yes,No,Good,High,High,Very Low,Very Low,Fair,2,13,12
Gabriel Pereira,Female,16,Urban,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,Services,Services,Course Preference,Mother,30 min to 1h,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Moderate,Moderate,Low,Moderate,Good,0,14,13
Gabriel Pereira,Female,15,Urban,Up to 3,Living Together,Higher Education,Lower Secondary School,Health,other,Other,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Moderate,Moderate,Very Low,Very Low,Very Good,0,16,14
Gabriel Pereira,Male,15,Urban,Up to 3,Separated,Higher Education,Lower Secondary School,Health,Health,Other,Father,15 to 30 min,Up to 2h,No,No,No,No,Yes,Yes,No,No,Excellent,Very High,Very High,Moderate,High,Very Good,4,10,9
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Higher Education,Higher Education,Services,Services,Course Preference,Mother,Up to 15 min,Up to 2h,Yes,Yes,No,No,Yes,Yes,Yes,No,Fair,Moderate,High,Low,Moderate,Very Good,0,13,12
Gabriel Pereira,Female,15,Urban,Up to 3,Separated,High School,High School,other,other,Other,Mother,Up to 15 min,Up to 2h,No,No,No,No,Yes,Yes,Yes,No,Excellent,Moderate,High,High,High,Very Poor,0,13,12
Gabriel Pereira,Female,16,Urban,Above 3,Separated,Lower Secondary School,Primary School,other,other,Other,Mother,Up to 15 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,Yes,Excellent,Moderate,High,Very Low,Very Low,Poor,2,12,13
Gabriel Pereira,Female,15,Urban,Above 3,Separated,Higher Education,High School,Services,Services,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Low,Very Low,Very Low,Very Poor,0,15,14
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Higher Education,Higher Education,Teacher,Health,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,No,No,Fair,Low,Low,Very Low,Very Low,Very Good,8,15,15
Gabriel Pereira,Male,15,Urban,Up to 3,Living Together,Primary School,Lower Secondary School,other,Homemaker,Near Home,Father,Up to 15 min,2 to 5h,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Low,Very Low,Very Low,Very Good,0,14,13
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Higher Education,Lower Secondary School,Services,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,Yes,No,Yes,Yes,Yes,No,Good,Low,Moderate,Very Low,Very Low,Very Good,2,16,15
Gabriel Pereira,Female,16,Rural,Above 3,Living Together,Higher Education,Higher Education,Health,Teacher,Other,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,No,No,Poor,High,High,Low,Moderate,Good,0,17,16
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Primary School,Primary School,Services,Services,Course Preference,Father,More than 1h,Up to 2h,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Excellent,Very High,Very High,Very High,Very High,Very Good,0,10,10
Gabriel Pereira,Female,16,Urban,Up to 3,Living Together,Primary School,Lower Secondary School,other,Services,Reputation,Father,Up to 15 min,2 to 5h,Yes,No,No,Yes,Yes,Yes,Yes,No,Good,High,Moderate,Very Low,Very Low,Very Poor,0,13,13
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Higher Education,High School,Teacher,Health,Near Home,Mother,Up to 15 min,5 to 10h,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Fair,High,High,Low,High,Good,0,14,13
Gabriel Pereira,Female,15,Urban,Up to 3,Living Together,Higher Education,High School,Services,Services,Reputation,Father,Up to 15 min,2 to 5h,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Good,High,High,Low,High,Poor,0,13,12
Gabriel Pereira,Female,16,Urban,Up to 3,Living Together,Higher Education,High School,Teacher,Services,Course Preference,Mother,30 min to 1h,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,High,Moderate,Very Low,Low,Very Poor,2,16,15
Gabriel Pereira,Male,15,Urban,Above 3,Separated,Higher Education,Higher Education,other,Services,Reputation,Mother,Up to 15 min,More than 10h,No,Yes,No,Yes,No,Yes,Yes,Yes,Very Poor,Moderate,Moderate,Very High,Very High,Fair,0,11,12
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,High School,Primary School,Services,other,Course Preference,Mother,Up to 15 min,More than 10h,Yes,Yes,No,No,Yes,Yes,Yes,No,Good,Moderate,Moderate,Very Low,Low,Very Good,0,10,9
Gabriel Pereira,Female,15,Rural,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,Health,Services,Reputation,Mother,15 to 30 min,2 to 5h,Yes,Yes,No,No,Yes,Yes,Yes,No,Good,Very Low,Moderate,Very Low,Moderate,Good,0,11,10
Gabriel Pereira,Female,15,Rural,Up to 3,Living Together,High School,Primary School,other,other,Reputation,Father,15 to 30 min,More than 10h,No,Yes,No,No,No,Yes,Yes,No,Good,High,Low,Low,Moderate,Fair,6,15,15
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,High School,Primary School,other,other,Reputation,Father,15 to 30 min,More than 10h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Moderate,Low,Very Low,Very Low,Very Good,2,13,11
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Higher Education,Lower Secondary School,other,other,Course Preference,Mother,Up to 15 min,More than 10h,No,No,No,No,Yes,Yes,Yes,No,Fair,Moderate,Moderate,Very Low,Very Low,Fair,0,11,9
Gabriel Pereira,Female,15,Rural,Above 3,Living Together,Primary School,Primary School,other,other,Reputation,Mother,Up to 15 min,2 to 5h,Yes,Yes,No,No,No,Yes,Yes,Yes,Fair,Moderate,High,Low,High,Very Good,2,13,11
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,High School,Primary School,other,other,Reputation,Mother,Up to 15 min,Up to 2h,No,No,No,Yes,Yes,Yes,No,No,Excellent,Moderate,Low,Low,Low,Very Good,0,13,13
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,High School,High School,other,Services,Near Home,Mother,Up to 15 min,2 to 5h,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Moderate,Low,High,Very Good,4,11,11
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Higher Education,High School,Teacher,other,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Moderate,Low,Moderate,Very Good,0,11,11
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Higher Education,None,Teacher,other,Course Preference,Mother,15 to 30 min,More than 10h,No,No,No,Yes,Yes,Yes,Yes,No,Fair,High,Moderate,Very Low,Very Low,Very Poor,0,12,11
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Reputation,Mother,Up to 15 min,More than 10h,No,No,No,No,Yes,Yes,Yes,Yes,Excellent,Low,Moderate,Very Low,Moderate,Fair,1,13,13
Gabriel Pereira,Male,17,Urban,Above 3,Living Together,Lower Secondary School,Primary School,other,other,Near Home,Mother,15 to 30 min,Up to 2h,Yes,Yes,No,Yes,Yes,No,Yes,No,Good,Very High,Very Low,Very Low,Very Low,Fair,0,9,9
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,High School,Higher Education,Homemaker,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Poor,High,Moderate,Very Low,Low,Fair,14,12,11
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Lower Secondary School,High School,other,Services,Course Preference,Father,Up to 15 min,Up to 2h,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fair,Low,Low,Very Low,Moderate,Fair,0,11,11
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Lower Secondary School,High School,other,other,Near Home,Mother,Up to 15 min,5 to 10h,Yes,No,No,No,No,Yes,Yes,No,Excellent,Moderate,Low,Very Low,Low,Very Good,2,10,9
Gabriel Pereira,Female,15,Urban,Up to 3,Living Together,High School,Lower Secondary School,Services,other,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Good,High,High,Very Low,Very Low,Very Good,4,12,11
Gabriel Pereira,Male,15,Urban,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,Services,Services,Near Home,Mother,15 to 30 min,2 to 5h,No,No,Yes,Yes,Yes,Yes,Yes,No,Excellent,Moderate,Moderate,Very Low,Moderate,Good,2,13,12
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Primary School,Primary School,other,other,Near Home,Father,Up to 15 min,2 to 5h,No,Yes,No,Yes,No,Yes,Yes,No,Good,Moderate,Low,Low,Moderate,Good,2,13,12
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Higher Education,Higher Education,Services,Services,Reputation,Father,15 to 30 min,2 to 5h,No,No,No,No,Yes,Yes,Yes,Yes,Good,High,High,Low,Moderate,Very Good,4,12,11
Gabriel Pereira,Female,16,Urban,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,Homemaker,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,No,No,Good,Moderate,High,Very Low,Low,Poor,6,13,11
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Higher Education,Lower Secondary School,other,other,Reputation,Mother,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,Moderate,Moderate,Very Low,Moderate,Very Poor,4,15,15
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Services,other,Reputation,Father,15 to 30 min,2 to 5h,No,No,No,Yes,No,Yes,Yes,No,Good,High,Low,Very Low,Very Low,Fair,6,12,10
Gabriel Pereira,Male,16,Urban,Up to 3,Separated,Higher Education,Higher Education,Teacher,Health,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,No,No,Good,Very Low,Moderate,Moderate,Very High,Very Good,6,9,9
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,High School,High School,other,other,Near Home,Mother,Up to 15 min,5 to 10h,No,Yes,No,No,Yes,Yes,Yes,Yes,Good,Moderate,Moderate,Very Low,Moderate,Good,2,9,11
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Higher Education,High School,Services,other,Reputation,Mother,Up to 15 min,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,No,Good,Very High,Very High,Very Low,Moderate,Very Poor,6,14,13
Gabriel Pereira,Female,16,Urban,Up to 3,Living Together,High School,Primary School,other,other,Near Home,Father,Up to 15 min,2 to 5h,Yes,Yes,No,No,Yes,Yes,No,No,Fair,Moderate,Moderate,Low,Moderate,Poor,0,12,13
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Higher Education,Lower Secondary School,Teacher,Services,Near Home,Mother,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,Moderate,Moderate,Very Low,Very Low,Very Poor,2,13,14
Gabriel Pereira,Male,15,Urban,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,Services,Health,Reputation,Mother,Up to 15 min,More than 10h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,High,Very Low,Very Low,Good,2,11,12
Gabriel Pereira,Female,15,Rural,Above 3,Living Together,Primary School,Primary School,Homemaker,other,Near Home,Mother,15 to 30 min,More than 10h,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Fair,Very Low,Low,Very Low,Very Low,Very Poor,4,13,13
Gabriel Pereira,Male,16,Rural,Above 3,Living Together,Higher Education,High School,Services,other,Reputation,Mother,15 to 30 min,Up to 2h,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Fair,Moderate,Moderate,Very Low,Very Low,Good,6,9,11
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Lower Secondary School,Primary School,other,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,No,Yes,Good,Moderate,Very High,Very Low,Very Low,Very Good,0,13,12
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Higher Education,Higher Education,other,other,Reputation,Mother,Up to 15 min,Up to 2h,No,No,No,Yes,No,Yes,Yes,No,Excellent,Moderate,High,Very Low,Low,Very Poor,4,12,13
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Higher Education,High School,other,Homemaker,Course Preference,Mother,Up to 15 min,5 to 10h,Yes,Yes,No,No,Yes,Yes,Yes,No,Excellent,Moderate,Very High,Very Low,Very Low,Fair,2,12,13
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Higher Education,Higher Education,Services,Services,Other,Mother,Up to 15 min,Up to 2h,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Good,Very High,Very High,Very High,Very High,Good,12,9,9
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Higher Education,Higher Education,Services,Teacher,Other,Father,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,High,Moderate,Very Low,Very Low,Good,0,16,16
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Higher Education,Higher Education,Services,other,Course Preference,Mother,Up to 15 min,Up to 2h,No,Yes,Yes,Yes,No,Yes,Yes,No,Excellent,Moderate,Moderate,Very Low,Very Low,Very Good,2,12,13
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,High School,Lower Secondary School,Services,other,Near Home,Mother,15 to 30 min,2 to 5h,Yes,Yes,No,No,Yes,Yes,Yes,No,Good,Moderate,Very High,Very Low,Very Low,Poor,16,11,10
Gabriel Pereira,Male,15,Urban,Above 3,Separated,High School,Higher Education,Services,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,High,High,Very Low,Very Low,Very Poor,0,16,16
Gabriel Pereira,Female,15,Urban,Above 3,Separated,High School,High School,other,Health,Reputation,Father,Up to 15 min,More than 10h,Yes,No,No,No,Yes,Yes,No,No,Good,Moderate,Moderate,Very Low,Very Low,Good,10,10,10
